"['the sun is the source of energy for physical cycles on Earth [SEP] The sun is responsible forpuppies learning new tricks [SEP]', 0]","['the sun is the source of energy for physical cycles on Earth [SEP] The sun is responsible forchildren growing up and getting old [SEP]', 0]","['the sun is the source of energy for physical cycles on Earth [SEP] The sun is responsible forflowers wilting in a vase [SEP]', 0]","['the sun is the source of energy for physical cycles on Earth [SEP] The sun is responsible forplants sprouting, blooming and wilting [SEP]', 1]"
"['as distance to an object increases , that object will appear smaller [SEP] When standing miles away from Mount Rushmorethe mountains seem very close [SEP]', 0]","['as distance to an object increases , that object will appear smaller [SEP] When standing miles away from Mount Rushmorethe mountains are boring [SEP]', 0]","['as distance to an object increases , that object will appear smaller [SEP] When standing miles away from Mount Rushmorethe mountains look the same as from up close [SEP]', 0]","['as distance to an object increases , that object will appear smaller [SEP] When standing miles away from Mount Rushmorethe mountains seem smaller than in photographs [SEP]', 1]"
"['digestion is when stomach acid breaks down food [SEP] When food is reduced in the stomachthe mind needs time to digest [SEP]', 0]","['digestion is when stomach acid breaks down food [SEP] When food is reduced in the stomachtake a second to digest what I said [SEP]', 0]","['digestion is when stomach acid breaks down food [SEP] When food is reduced in the stomachnutrients are being deconstructed [SEP]', 1]","[""digestion is when stomach acid breaks down food [SEP] When food is reduced in the stomachreader's digest is a body of works [SEP]"", 0]"
"['a star is made of gases [SEP] Stars arewarm lights that float [SEP]', 0]","['a star is made of gases [SEP] Stars aremade out of nitrate [SEP]', 0]","['a star is made of gases [SEP] Stars aregreat balls of gas burning billions of miles away [SEP]', 1]","['a star is made of gases [SEP] Stars arelights in the sky [SEP]', 0]"
"['Galileo Galilei made improvements to the telescope to make better observations of celestial bodies [SEP] You can make a telescope with astraw [SEP]', 0]","['Galileo Galilei made improvements to the telescope to make better observations of celestial bodies [SEP] You can make a telescope with aGlass [SEP]', 0]","['Galileo Galilei made improvements to the telescope to make better observations of celestial bodies [SEP] You can make a telescope with aCandle [SEP]', 0]","['Galileo Galilei made improvements to the telescope to make better observations of celestial bodies [SEP] You can make a telescope with amailing tube [SEP]', 1]"
"['poison causes harm to living things [SEP] Poison causes harm to which of the following?a Tree [SEP]', 1]","['poison causes harm to living things [SEP] Poison causes harm to which of the following?a robot [SEP]', 0]","['poison causes harm to living things [SEP] Poison causes harm to which of the following?a house [SEP]', 0]","['poison causes harm to living things [SEP] Poison causes harm to which of the following?a car [SEP]', 0]"
"['the colors of the parts of an organism are inherited characteristics [SEP] an inherited characteristic found on all mammals isnails [SEP]', 0]","['the colors of the parts of an organism are inherited characteristics [SEP] an inherited characteristic found on all mammals isteeth [SEP]', 0]","['the colors of the parts of an organism are inherited characteristics [SEP] an inherited characteristic found on all mammals isshoes [SEP]', 0]","['the colors of the parts of an organism are inherited characteristics [SEP] an inherited characteristic found on all mammals isfur [SEP]', 1]"
"[""all living things eliminate waste [SEP] What doesn't eliminate waste?plants [SEP]"", 0]","[""all living things eliminate waste [SEP] What doesn't eliminate waste?mushrooms [SEP]"", 0]","[""all living things eliminate waste [SEP] What doesn't eliminate waste?bacteria [SEP]"", 0]","[""all living things eliminate waste [SEP] What doesn't eliminate waste?robots [SEP]"", 1]"
"['as a source of light becomes closer , that source will appear brighter [SEP] As a car approaches you in the nightthe headlights become more intense [SEP]', 1]","['as a source of light becomes closer , that source will appear brighter [SEP] As a car approaches you in the nightthe headlights recede into the dark [SEP]', 0]","['as a source of light becomes closer , that source will appear brighter [SEP] As a car approaches you in the nightthe headlights remain at a constant [SEP]', 0]","['as a source of light becomes closer , that source will appear brighter [SEP] As a car approaches you in the nightthe headlights turn off [SEP]', 0]"
"['seasons cause change to the environment [SEP] When the weather changes as it does from Christmas to Easter,the air may chill [SEP]', 0]","['seasons cause change to the environment [SEP] When the weather changes as it does from Christmas to Easter,the ground may freeze [SEP]', 0]","['seasons cause change to the environment [SEP] When the weather changes as it does from Christmas to Easter,the plants may die [SEP]', 0]","['seasons cause change to the environment [SEP] When the weather changes as it does from Christmas to Easter,the ground may warm [SEP]', 1]"
"['detailed observation of celestial objects requires a telescope [SEP] Using mirrors to focus collected light from heavenly bodies allowsdetailed observation [SEP]', 1]","['detailed observation of celestial objects requires a telescope [SEP] Using mirrors to focus collected light from heavenly bodies allowsforegone conclusions [SEP]', 0]","['detailed observation of celestial objects requires a telescope [SEP] Using mirrors to focus collected light from heavenly bodies allowsradiation experiments [SEP]', 0]","['detailed observation of celestial objects requires a telescope [SEP] Using mirrors to focus collected light from heavenly bodies allowscelestial music [SEP]', 0]"
"[""an animal needs to eat food for nutrients [SEP] Which of these things will supplement a squirrel's caloric needs?fish [SEP]"", 0]","[""an animal needs to eat food for nutrients [SEP] Which of these things will supplement a squirrel's caloric needs?tree bark [SEP]"", 0]","[""an animal needs to eat food for nutrients [SEP] Which of these things will supplement a squirrel's caloric needs?nuts [SEP]"", 1]","[""an animal needs to eat food for nutrients [SEP] Which of these things will supplement a squirrel's caloric needs?leaves [SEP]"", 0]"
"['as the size of an object appears larger , that object will be observed better [SEP] As you look deeper into a Marbel you can seethe future [SEP]', 0]","['as the size of an object appears larger , that object will be observed better [SEP] As you look deeper into a Marbel you can seeminut defects [SEP]', 1]","['as the size of an object appears larger , that object will be observed better [SEP] As you look deeper into a Marbel you can seecolors [SEP]', 0]","['as the size of an object appears larger , that object will be observed better [SEP] As you look deeper into a Marbel you can seethe other side [SEP]', 0]"
"['a body of water is a source of water [SEP] What happens when mercury is placed in water?it dissolves [SEP]', 0]","['a body of water is a source of water [SEP] What happens when mercury is placed in water?it sinks [SEP]', 1]","['a body of water is a source of water [SEP] What happens when mercury is placed in water?it floats [SEP]', 0]","['a body of water is a source of water [SEP] What happens when mercury is placed in water?it hardens [SEP]', 0]"
"['hawks eat lizards [SEP] In the desert, a hawk may enjoy an occasionalcoyote [SEP]', 0]","['hawks eat lizards [SEP] In the desert, a hawk may enjoy an occasionalreptile [SEP]', 1]","['hawks eat lizards [SEP] In the desert, a hawk may enjoy an occasionalbat [SEP]', 0]","['hawks eat lizards [SEP] In the desert, a hawk may enjoy an occasionalscorpion [SEP]', 0]"
"['a magnet attracts magnetic metals through magnetism [SEP] A magnet will stick toa belt buckle [SEP]', 1]","['a magnet attracts magnetic metals through magnetism [SEP] A magnet will stick toa wooden table [SEP]', 0]","['a magnet attracts magnetic metals through magnetism [SEP] A magnet will stick toa plastic cup [SEP]', 0]","['a magnet attracts magnetic metals through magnetism [SEP] A magnet will stick toa paper plate [SEP]', 0]"
"['the amount of daylight is least in the winter [SEP] Shorter periods of daylight happenOctober to December [SEP]', 0]","['the amount of daylight is least in the winter [SEP] Shorter periods of daylight happenNovember to March [SEP]', 0]","['the amount of daylight is least in the winter [SEP] Shorter periods of daylight happenDecember to April [SEP]', 0]","['the amount of daylight is least in the winter [SEP] Shorter periods of daylight happenDecember to March [SEP]', 1]"
"['a compass is a kind of tool for determining direction by pointing north [SEP] A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using anorthern-directing device [SEP]', 1]","['a compass is a kind of tool for determining direction by pointing north [SEP] A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using anorthern light reader [SEP]', 0]","['a compass is a kind of tool for determining direction by pointing north [SEP] A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using anortheastern winds [SEP]', 0]","['a compass is a kind of tool for determining direction by pointing north [SEP] A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using anorth central credit [SEP]', 0]"
"['natural gas is a nonrenewable resource [SEP] Where are you likely to find a nonrenewable resource?a forest [SEP]', 0]","['natural gas is a nonrenewable resource [SEP] Where are you likely to find a nonrenewable resource?a dam [SEP]', 0]","['natural gas is a nonrenewable resource [SEP] Where are you likely to find a nonrenewable resource?a mine [SEP]', 1]","['natural gas is a nonrenewable resource [SEP] Where are you likely to find a nonrenewable resource?a solar panel [SEP]', 0]"
"['a flashlight converts chemical energy into light energy [SEP] A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, whichprovide light due to wiring [SEP]', 1]","['a flashlight converts chemical energy into light energy [SEP] A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, whichprovide light through plastic [SEP]', 0]","['a flashlight converts chemical energy into light energy [SEP] A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, whichuse light to heat the flashlight [SEP]', 0]","['a flashlight converts chemical energy into light energy [SEP] A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, whichprovide light due to moisture [SEP]', 0]"
"['the summer solstice is on June 21st in the northern hemisphere [SEP] the summer solstice is on June 21st in thein the south pacific [SEP]', 0]","['the summer solstice is on June 21st in the northern hemisphere [SEP] the summer solstice is on June 21st in theupper portion of earth [SEP]', 1]","['the summer solstice is on June 21st in the northern hemisphere [SEP] the summer solstice is on June 21st in thelower portion of earth [SEP]', 0]","['the summer solstice is on June 21st in the northern hemisphere [SEP] the summer solstice is on June 21st in thethe equator near the tropics [SEP]', 0]"
"['camouflage is used for hiding by animals from predators [SEP] A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, becausethe owl is invisible [SEP]', 0]","['camouflage is used for hiding by animals from predators [SEP] A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, becausethe mouse is oblivious [SEP]', 0]","['camouflage is used for hiding by animals from predators [SEP] A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, becausethe mouse is blind [SEP]', 0]","['camouflage is used for hiding by animals from predators [SEP] A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, becausethe owl matches its background [SEP]', 1]"
"['a seismometer is used to measure the strength or magnitude of an earthquake [SEP] You would use a seismometer ifA mysterious rumble off the coast of Japan [SEP]', 1]","['a seismometer is used to measure the strength or magnitude of an earthquake [SEP] You would use a seismometer ifSomeone farted in class [SEP]', 0]","['a seismometer is used to measure the strength or magnitude of an earthquake [SEP] You would use a seismometer ifKids were stomping on the floor [SEP]', 0]","['a seismometer is used to measure the strength or magnitude of an earthquake [SEP] You would use a seismometer ifto track the buzz of a bee [SEP]', 0]"
"['mammals give birth to live young [SEP] Many animals that give birth to live young havegills [SEP]', 0]","['mammals give birth to live young [SEP] Many animals that give birth to live young havescales [SEP]', 0]","['mammals give birth to live young [SEP] Many animals that give birth to live young haveexoskeletons [SEP]', 0]","['mammals give birth to live young [SEP] Many animals that give birth to live young havelegs [SEP]', 1]"
"['an organism requires energy for growth [SEP] A child will only grow if they are provided witha bed [SEP]', 0]","['an organism requires energy for growth [SEP] A child will only grow if they are provided witheducation [SEP]', 0]","['an organism requires energy for growth [SEP] A child will only grow if they are provided withinspiration [SEP]', 0]","['an organism requires energy for growth [SEP] A child will only grow if they are provided withenergy [SEP]', 1]"
"['high tide is a stage in the tide cycle process [SEP] Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them toswell [SEP]', 1]","['high tide is a stage in the tide cycle process [SEP] Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them tofloat [SEP]', 0]","['high tide is a stage in the tide cycle process [SEP] Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them todie [SEP]', 0]","['high tide is a stage in the tide cycle process [SEP] Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them toburn [SEP]', 0]"
"['if a tree falls then that tree is dead [SEP] The many trees on a forest floorare unable to decay [SEP]', 0]","['if a tree falls then that tree is dead [SEP] The many trees on a forest floorare able to regrow themselves [SEP]', 0]","['if a tree falls then that tree is dead [SEP] The many trees on a forest floorare broken down for good [SEP]', 0]","['if a tree falls then that tree is dead [SEP] The many trees on a forest floorbroke, passed, will decay [SEP]', 1]"
"[""a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion [SEP] A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high windsflip the car over [SEP]"", 0]","[""a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion [SEP] A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high windshelp the car go faster [SEP]"", 0]","[""a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion [SEP] A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high windsconflict with the driver's goal [SEP]"", 1]","[""a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion [SEP] A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high windsmove the car sideways [SEP]"", 0]"
"['if a mineral can be scratched by a fingernail then that mineral is soft [SEP] a student leaves a nail line on a mineral sample, so that mineral can be described as what?a mineral [SEP]', 0]","['if a mineral can be scratched by a fingernail then that mineral is soft [SEP] a student leaves a nail line on a mineral sample, so that mineral can be described as what?a soft mineral [SEP]', 1]","['if a mineral can be scratched by a fingernail then that mineral is soft [SEP] a student leaves a nail line on a mineral sample, so that mineral can be described as what?a liquid mineral [SEP]', 0]","['if a mineral can be scratched by a fingernail then that mineral is soft [SEP] a student leaves a nail line on a mineral sample, so that mineral can be described as what?a mineral melt [SEP]', 0]"
"['An example of a chemical change is acid breaking down substances [SEP] An example of a chemical change is acid breaking down substances, another isflour added to salt [SEP]', 0]","['An example of a chemical change is acid breaking down substances [SEP] An example of a chemical change is acid breaking down substances, another ismilk added to water [SEP]', 0]","['An example of a chemical change is acid breaking down substances [SEP] An example of a chemical change is acid breaking down substances, another iscorn added to soup [SEP]', 0]","['An example of a chemical change is acid breaking down substances [SEP] An example of a chemical change is acid breaking down substances, another islemon juice added to milk [SEP]', 1]"
"['Matter in the gas phase has variable volume [SEP] Matter in the gas phase hasfluctuating volume [SEP]', 1]","['Matter in the gas phase has variable volume [SEP] Matter in the gas phase hasturned up volume [SEP]', 0]","['Matter in the gas phase has variable volume [SEP] Matter in the gas phase hasturned down volume [SEP]', 0]","['Matter in the gas phase has variable volume [SEP] Matter in the gas phase hassteady volume [SEP]', 0]"
"['earthworms create tunnels in soil [SEP] an example of an excellent earth mover iscat [SEP]', 0]","['earthworms create tunnels in soil [SEP] an example of an excellent earth mover isdog [SEP]', 0]","['earthworms create tunnels in soil [SEP] an example of an excellent earth mover isannelids [SEP]', 1]","['earthworms create tunnels in soil [SEP] an example of an excellent earth mover isfish [SEP]', 0]"
